month,day,year,day_Mon,day_Tues,day_Wed,day_Thurs,day_Fri,day_Sat,day_Sun,first_time_revenue,first_time_orders,first_time_aov,returning_revenue,returning_orders,returning_aov,2_day_ago_ft_revenue,2_day_ago_ft_orders,2_day_ago_ft_aov,1_day_ago_ft_revenue,1_day_ago_ft_orders,1_day_ago_ft_aov,2_day_ago_ret_revenue,2_day_ago_ret_orders,2_day_ago_ret_aov,1_day_ago_ret_revenue,1_day_ago_ret_orders,1_day_ago_ret_aov,total_revenue,total_orders,total_aov,2_day_ago_total_revenue,2_day_ago_total_order,2_day_ago_aov,1_day_ago_total_revenue,1_day_ago_total_orders,1_day_ago_aov,google_ad_spend,facebook_ad_spend,1_day_ago_google_ad_spend,1_day_ago_facebook_ad_spend,2_day_ago_google_ad_spend,2_day_ago_facebook_ad_spend,actual_net_revenue,1_day_ago_net_revenue,2_day_ago_net_revenue
1,1,2018,1,0,0,0,0,0,0,1003.01,17,59.00058824,368.65,5,73.73,330.77,5,66.154,185.89,3,66.154,1358.36,14,97.02571429,436.68,7,97.02571429,1371.66,22,62.34818182,1689.13,19,88.90157895,622.57,10,62.257,0,41.98,0,31.91,0,39.77,1329.68,590.66,1649.36
1,2,2018,0,1,0,0,0,0,0,1331.6,21,63.40952381,2134.3,26,82.08846154,185.89,3,61.96333333,1003.01,17,59.00058824,436.68,7,62.38285714,368.65,5,73.73,3465.9,47,73.74255319,622.57,10,62.257,1371.66,22,62.34818182,0,38.78,0,41.98,0,31.91,3427.12,1329.68,590.66
1,3,2018,0,0,1,0,0,0,0,1022.59,14,73.04214286,2623.09,23,114.0473913,1003.01,17,59.00058824,1331.6,21,63.40952381,368.65,5,73.73,2134.3,26,82.08846154,3645.68,37,98.53189189,1371.66,22,62.34818182,3465.9,47,73.74255319,0,41.17,0,38.78,0,31.91,3604.51,3427.12,1339.75
1,4,2018,0,0,0,1,0,0,0,1218.99,19,64.15736842,1316.54,22,59.84272727,1331.6,21,63.40952381,1022.59,14,73.04214286,2134.3,26,82.08846154,2623.09,23,114.0473913,2535.53,41,61.84219512,3465.9,47,73.74255319,3645.68,37,98.53189189,0,51.28,0,41.17,0,41.98,2484.25,3604.51,3423.92
1,5,2018,0,0,0,0,1,0,0,835.68,17,49.15764706,1334.9,13,102.6846154,1022.59,14,73.04214286,1218.99,19,64.15736842,2623.09,23,114.0473913,1316.54,22,59.84272727,2170.58,30,72.35266667,3645.68,37,98.53189189,2535.53,41,61.84219512,0,46.44,0,51.28,0,38.78,2124.14,2484.25,3606.9
1,6,2018,0,0,0,0,0,1,0,588.65,12,49.05416667,1338.22,12,111.5183333,1218.99,19,64.15736842,835.68,17,49.15764706,1316.54,22,59.84272727,1334.9,13,102.6846154,1926.87,24,80.28625,2535.53,41,61.84219512,2170.58,30,72.35266667,0,51.58,0,46.44,0,41.17,1875.29,2124.14,2494.36
1,7,2018,0,0,0,0,0,0,1,1070.87,13,82.37461538,1211.3,18,67.29444444,835.68,17,49.15764706,588.65,12,49.05416667,1334.9,13,102.6846154,1338.22,12,111.5183333,2282.17,31,73.6183871,2170.58,30,72.35266667,1926.87,24,80.28625,0,55.16,0,51.58,0,51.28,2227.01,1875.29,2119.3
1,8,2018,1,0,0,0,0,0,0,1203.25,19,63.32894737,1804.14,19,94.95473684,588.65,12,49.05416667,1070.87,13,82.37461538,1338.22,12,111.5183333,1211.3,18,67.29444444,3007.39,38,79.14184211,1926.87,24,80.28625,2282.17,31,73.6183871,0,71.52,0,55.16,0,46.44,2935.87,2227.01,1880.43
1,9,2018,0,1,0,0,0,0,0,1150.65,22,52.30227273,1792.87,22,81.49409091,1070.87,13,82.37461538,1203.25,19,63.32894737,1211.3,18,67.29444444,1804.14,19,94.95473684,2943.52,44,66.89818182,2282.17,31,73.6183871,3007.39,38,79.14184211,0,108.35,0,71.52,0,51.58,2835.17,2935.87,2230.59
1,10,2018,0,0,1,0,0,0,0,637.62,10,63.762,928.74,16,58.04625,1203.25,19,63.32894737,1150.65,22,52.30227273,1804.14,19,94.95473684,1792.87,22,81.49409091,1566.36,26,60.24461538,3007.39,38,79.14184211,2943.52,44,66.89818182,0,125.63,0,108.35,0,55.16,1440.73,2835.17,2952.23
